1.000000000000000021e-03 2.805206014870650494e-30 1.672999999999996916e-24
3.143821771531821706e-03 2.740614181754713840e-30 1.672999999999996916e-24
9.883615331157480019e-03 2.560512715713640648e-30 1.672999999999996916e-24
3.107232505953859761e-02 2.150481709218748338e-30 1.672999999999996916e-24
9.768585201429125231e-02 1.520559863341977637e-30 2.585624211484138583e-27
3.071069083331646188e-01 9.427365356368327744e-31 4.359064583729955743e-29
9.654893846056303852e-01 6.010682287829069719e-31 8.863498124990334136e-30
3.035326547506040917e+00 4.428703470796896916e-31 2.766985612381562826e-30
9.542525683758009691e+00 3.766773271596443797e-31 1.090398153316185849e-30
2.999999999999999645e+01 3.502001769572019737e-31 5.855197008179142192e-31
